marca_descripcion,marca_id
DEVILBISS,1444
DEVON,1446
DEWALT,1448
DIALEX,1450
DIALUZ,1451
DIAMOND,1452
DIAZA,1453
DICKEY-JOHN,1457
DICOMET,1458
DIETZGEN,1461
DIGIBOARD,1476
DIGITA,1477
DIGITEL,1502
DIMEP,1505
DIMEX,1506
DIMSA,1508
DIMUSA,1509
DINA,1510
DINAMEC,1515
DINAMICA,1517
DINAMICO,1521
DINAMO,1518
DINATRON,1519
DIRCO,1522
DIRECTOR,1523
DIRSA,1524
DISMA,1526
DISPLANO,1529
DISPLAY,1530
DISPLON,1531
DISTANCIOM,1532
DI-VAC,1449
DIVICIN,1533
DIVISA,1534
DIWAL,1535
DIXY,1537
DIZHER,1538
DKO MUEBLES,6593
DKSTEEL,1539
DODGE,1595
DOER,1616
DOLE,1618
DOLFI,6583
DOLROLLED,1620
DOMANI,1621
DOMER,1622
DOUTHERM,1623
DOWER,1624
DPM,1625
DRAGUER,1626
DRAPER BARONET,521
DREMEL,1630
DRILL,1631
DSWI,1633
DTK COMPUTER,1635
DUAL,1641
DUKANE,1643
DUMPY,1648
DUPONT,1652
DURABILITY,1655
DURABILTY,1656
DURAGAS,1657
DURST,1642
DUTY MASTR,1659
DUVAL,1660
DUVESA,1661
DVA,1663
D-VICTOR,1299
DVILVISS,1664
DWHITE,1665
DYLLTE,1667
DYMO,1668
DYNAMIC,1669
DYNAMO,1670
E JACKSO,1674
E X D,1675
EASTKO,1682
EASY,1683
EASY PHOTO,1684
EATON,6582
EBA,1686
EBERBACH,1696
ECCA,1688
ECCEL,1689
ECCO,1690
ECHO,1693
ECKO,1694
ECO,1695
ECONDOMY,1697
ECONOMY,1698
ECOSENCE,1687
EDALTA,1699
EDAR,6605
EDGIRITI,1701
EDIT. TEIDE,1702
EDUSAT,1704
EFCO,6541
EFCO STARK 25,5597
EGGROTRON,1708
EHODER,1710
EIASA,1711
EIKI,1712
EISE,1713
EISON,1714
EJECUTIVO,1715
EKKO,1717
EKO,1718
EKTAGRAPHIC,1722
EKTANAR,1723
EKTANON,1724
EL DORADO,1726
EL SOL,1727
ELCOM,6641
ELEBACH,1728
ELECTRA,1732
ELECTRIC,1733
ELECTRO VOICE,1741
ELECTROGRAFI,1735
ELECTROLUX,1736
ELECTRON,1737
ELECTRONIC,1738
ELECTROTEC,1739
ELEKTRA,1740
ELFEMA,1742
ELIKOM,1743
ELIN,1744
ELIOS,1745
ELIZA,1747
ELIZONDO,1748
ELLMAN,1749
ELMEX,1750
ELMNEV,1751
ELMO,1752
ELTAGRAPHI,1753
EMACHINES,6702
EMANA,1756
EMCO STAR,1757
EMEISA,1758
EMERI,1759
EMERSON,1760
EMMAN,1761
EMSA,1762
EMYA,1763
ENCICLOPEDIA BARSA,523
ENCORE,1764
ENDER,1765
ENDOR,1766
ENERGY PLU,1767
ENGINEERED SYSTEM AND DES,1769
ENM,1770
ENNASCOP,1771
ENTEIA,1772
ENTELECSIS,1775
ENTERLECSIS,1777
ENTERNATIONAL,1778
ENTERPRISE,1779
ENVIARO,1780
ENVIRUDE,1782
EPCOM,6686
EPECSA,1783
EPPEND,1784
EPPENDORF,1785
EPSON,1786
EQ. TREVIÑO,1796
EQQUARD,1797
EQUIPAR,1800
ERGODESIG,1804
ERGOFORM,1806
ERICSSON,1810
ERKCO,1814
ERVA,1816
ERVEN,1817
ER-VKO,1803
ESAMEX G.L,1821
ESCO,1822
ESLUM,1823
ESMALTADO ALFER,1824
ESPECIAL,1826
ESPECTRONI,1827
ESSEN,6722
ESTADIM,1831
ESTAGRAFIC,1833
ESTANDAR,1834
ESTDIOSSO,1837
ESTEREOMASTER,6597
ESTHIL,1843
ESTRELLA,1844
ES-WHELL,1820
ETERNO,1846
ETHERN,1847
ETREX LEGEND,1849
EUMING,1851
EUMING MARK,1852
EURA,1853
EURO LINE,6723
EUROMATIC,1855
EUROMEX,1856
EUROMUEBLE,1857
